Locality,Province,Average Unmployment Rate (2021),DGUID
Canada,Canada,7.73,2021A000011124
Newfoundland and Labrador,Newfoundland and Labrador,13.15,2021A000210
St. John's,Newfoundland and Labrador,8.33,2021A00051001519
Prince Edward Island,Prince Edward Island,10.18,2021A000211
Nova Scotia,Nova Scotia,8.57,2021A000212
Halifax, Nova Scotia,7.57,2021A00051209034
New Brunswick,New Brunswick,9.33,2021A000213
Moncton, New Brunswick,7.93,2021A00051307019
Saint John, New Brunswick,9.5,2021A00051307020
Fredericton, New Brunswick,6.32,2021A00051307021
Quebec, Quebec,6.29,2021A000224
Saguenay, Quebec,5.36,2021A00051405020
Québec City, Quebec,4.26,2021A00051405021
Sherbrooke, Quebec,4.9,2021A00051405022
Trois-Rivières, Quebec,5.19,2021A00051405023
Drummondville, Quebec,6.33,2021A00051405024
Montréal, Quebec,7.15,2021A00051405025
Ontario,Ontario,8.41,2021A000235
Ottawa-Gatineau, Quebec,5.97,2021A00051405026
Ottawa-Gatineau, Ontario,5.97,2021A00051405027
Kingston, Ontario,7.48,2021A00051405028
Belleville - Quinte West, Ontario,8.52,2021A00051405029
Peterborough, Ontario,8.17,2021A00051405030
Oshawa, Ontario,7.86,2021A00051405031
Toronto, Ontario,9.62,2021A00051405032
Hamilton, Ontario,7.04,2021A00051405033
St. Catharines-Niagara, Ontario,10.75,2021A00051405034
Kitchener-Cambridge-Waterloo, Ontario,6.62,2021A00051405035
Brantford, Ontario,6.97,2021A00051405036
Guelph, Ontario,7.14,2021A00051405037
London, Ontario,8.19,2021A00051405038
Windsor, Ontario,9.46,2021A00051405039
Barrie, Ontario,8.45,2021A00051405040
Greater Sudbury, Ontario,7.75,2021A00051405041
Thunder Bay, Ontario,7.53,2021A00051405042
Manitoba,Manitoba,6.65,2021A000246
Winnipeg, Manitoba,7.08,2021A00054611040
Saskatchewan,Saskatchewan,6.61,2021A000247
Regina, Saskatchewan,6.86,2021A00054706027
Saskatoon, Saskatchewan,7.37,2021A00054706028
Alberta,Alberta,8.81,2021A000248
Lethbridge, Alberta,6.08,2021A00054804019
Calgary, Alberta,9.22,2021A00054804020
Red Deer, Alberta,10.47,2021A00054804021
Edmonton, Alberta,9.03,2021A00054804022
British Columbia,British Columbia,6.73,2021A000259
Kelowna, British Columbia,5.42,2021A00055935010
Kamloops, British Columbia,6.55,2021A00055935011
Chilliwack, British Columbia,5.61,2021A00055935012
Abbotsford-Mission, British Columbia,6.86,2021A00055935013
Vancouver, British Columbia,6.97,2021A00055935014
Victoria, British Columbia,4.91,2021A00055935015
Nanaimo, British Columbia,6.82,2021A00055935016
